DATE,YEAR,LOCATION,OPERATOR,AIRCRAFT_TYPE,TOTAL_FATALITIES,PASSENGER_FATALITIES,CREW_FATALITIES
11/07/1996,1996,"Aubusson, France",Jetcom S.A.,Cessna 421C Golden Eagle,8,7,1
11/12/1996,1996,"Near Charkhi Dadri, India",Saudi Arabian Airlines / Kazakhstan Airlines,Boeing B-747-168B / Ilyushin IL-76TD,349,316,33
11/14/1996,1996,"Bolchaïa Pyssa, Russia",Komi Avia,Antonov AN-2,14,13,1
11/19/1996,1996,"Quincy, Illinois",United Express  / Private,Beechcraft 1900-C / Beech King Air A90,14,10,4
11/22/1996,1996,"Off Cape Mendocino, CA",Military - U.S. Air Force,Lockheed HC-130P Hercules,10,0,10
11/23/1996,1996,"Off Mitsamiouli, Comoros",Ethiopian Airlines,Boeing B-767-260ER,127,117,10
11/27/1996,1996,"Abakan, Siberia, Russia",Military - Russian Air Force,Ilyushin IL-76MD,23,19,4
11/30/1996,1996,"Medellin, Colombia",ACES Colombia,De Havilland Canada DHC-6 Twin Otter 300,14,12,2
12/07/1996,1996,"Banjarmasin, Indonesia",Dirgantara Air Services,CASA 212 Aviocar 100,16,14,2
12/09/1996,1996,"Boise, Idaho",Emery Worldwide,Douglas C-47A,2,0,2
12/17/1996,1996,"Tver, Russia",Military - Russian Air Force,Antonov AN-12,18,11,7
12/21/1996,1996,"Rio Negro, Colombia",SELVA,Antonov An-32B,4,1,3
12/22/1996,1996,"Narrows, Virginia",Airborne Express,McDonnell Douglas DC-8-63F,6,3,3
12/24/1996,1996,"Dorchester, New Hampshire",Aircraft Charter Group Inc,Learjet 35A,2,0,2
12/24/1996,1996,"Near Nellore, India",Military - Indian Air Force,Hindustan Aeronautics 748-2,22,17,5
01/07/1997,1997,"Near Moamoa, Samoa",Polynesian Airlines,De Havilland Canada DHC-6 Twin Otter 300,3,2,1
01/09/1997,1997,"Near Monroe, Michigan",Comair,Embraer 120RT Brasilia,29,26,3
01/29/1997,1997,"Sparrevohn, Alaska",Southcentral Air,De Havilland Canada DHC-4A Caribou,1,0,1
01/31/1997,1997,"Yola, Nigeria",Skypower Express Airways,Embraer 110P1A Bandeirante,5,2,3
02/01/1997,1997,"Tambacoumba, Senegal",Air Senegal,Hawker Siddeley HS-748-353 Srs.2a,25,22,3
02/02/1997,1997,"Near Quiangala, Angola",Military - Angolan Air Force,CASA 212 Aviocar 200,37,33,4
02/14/1997,1997,"Carajas, Brazil",Varig,Boeing B-737-2C3,1,0,1
02/19/1997,1997,"Guatemala City, Guatemala",Transpolar,IAI 1124 Westwind,5,4,1
03/12/1997,1997,"Lucapa, Angola",ALADA,Antonov AN-12B,16,12,4
03/13/1997,1997,"Near Mashhad, Iran",Military - Islamic Republic of Iran Air Force,Lockheed C-130HF,88,80,8
03/18/1997,1997,"Cherkessk, Russia",Stavropol Airlines,Antonov AN-24RV,50,44,6
04/04/1997,1997,"Griffin, Georgia",Custom Air Service,Aviation Traders ATL-98 Carvair,2,0,2
04/10/1997,1997,"Near Wainwright, Alaska",Hageland Aviation Services,Cessna 208B Caravan I,5,4,1
04/14/1997,1997,"Brazzaville, Democratic Republic Congo",TAAG Angola Airlines,Fokker F-27 Friendship 600,3,0,3
04/15/1997,1997,"Gyandzha, Azerbaijan",Azerbaijan Airlines,Yakovlev 40,6,0,6
04/19/1997,1997,"Tanjung Pandan, Indonesia",Merpati Nusantara Airlines,British Aerospace ATP,15,11,4
05/08/1997,1997,"Huangtian, China",China Southern Airlines,Boeing B-737-31B,35,33,2
06/06/1997,1997,"Near Irumu, Congo",Bazair,Vickers Viscount 781D,27,20,7
06/10/1997,1997,"Mandalgobi, Mongolia",MIAT - Mongolian Airlines,Harbin Yunshuji Y-12 II,7,7,0
07/03/1997,1997,"Madh Island, India",Elbee Airlines,Fokker F-27 Friendship 200,2,0,2
07/06/1997,1997,"Near Saravena, Colombia",Military - Fuerza Aerea Colombiana,Mil Mi-17 (helicopter),25,21,4
07/09/1997,1997,"Suzano, Brazil",TAM (Brazil),Fokker 100,1,1,0
07/11/1997,1997,"Off Santiago de Cuba, Cuba",Cubana de Aviacion,Antonov AN-24,44,39,5
07/17/1997,1997,"Bandung, Indonesia",Sempati Air,Fokker F-27 Friendship 600,30,25,5
07/18/1997,1997,"Goroka,  New Guinea",Goroka Air Services,De Havilland Canada DHC-6 Twin Otter 300,2,1,1
07/29/1997,1997,"Calabar , Nigeria",ADC Airlines,BAC One-Eleven 203AE,1,0,1
07/30/1997,1997,"Florence, Italy",Air Littoral,Aerospatiale ATR-42-512,1,0,1
08/06/1997,1997,"Agana, Guam",Korean Air,Boeing B-747-300,228,206,22
08/07/1997,1997,"Miami, Florida",Fine Air,McDonnell Douglas DC-8-61F,4,1,3
08/10/1997,1997,"Matsu Island, Taiwan",Formosa Airlines,Dornier DO-228-212,16,14,2
08/29/1997,1997,"Puerto Inirida, Venezuela",SATENA,Pilatus PC-6 Turbo Porter / Cessna 206,12,10,2
09/03/1997,1997,"Phnom Penh, Cambodia",Vietnam Airlines,Tupolev TU-134,65,59,6
09/06/1997,1997,"Near Miri, Malaysia",Borneo Airways,Dornier 228-212,10,8,2
09/12/1997,1997,"Near Uvira, Zaire",TMK Air Commuter,De Havilland Canada DHC-6 Twin Otter 300,22,21,1
09/13/1997,1997,"Off Namibia, Africa",Military - Luftwaffe / Military - USAF,Tupolev TU-154M / C-141 Starlifter,33,23,10
09/26/1997,1997,"Buah Nabar, Indonesia",Garuda Indonesia Airlines,Airbus A300-B4-200,234,222,12
10/08/1997,1997,"Near Montrose, Colorado",Scenic Airlines,Cessna 208B Caravan I,9,8,1
10/10/1997,1997,"Nuevo Berlin, Uruguay",Austral Lineas Aeras (Argentina),McDonnell Douglas DC-9-32,74,69,5
10/10/1997,1997,"Taipei, Taiwan",Military - Republic of China Air Force,Lockheed C-130H Hercules,5,0,5
10/12/1997,1997,"Monterey Bay, near Pacific Grove, California",Private,Rutan Long EZ (experimental aircraft),1,0,1
10/29/1997,1997,"Jalal-Abad, Afghanistan",Ariana Afghan Airlines,Yakovlev YAK-40,2,2,0
11/08/1997,1997,"Near Barrow, Alaska",Hageland Aviation Services,Cessna 208B Caravan I,8,7,1
12/05/1997,1997,"Irkutsk-2, Russia",Military - Russian Air Force,Antonov AN-124-100,23,17,6
12/09/1997,1997,"Little Grand Rapids, Canada",Sowind Air,Embraer 110P1 Bandeirante,4,3,1
12/13/1997,1997,"La Veriente, Bolivia",STAP,Swearingen SA-226T Metro II,10,9,1
12/15/1997,1997,"Sharjah, United Arab Emirates",Tajikistan Airlines,Tupolev TU-154,85,77,8
12/17/1997,1997,"Fotina, Greece",Aerosweet Airlines (LVOV),Yakovlev YAK-42,70,62,8
12/19/1997,1997,"Near Palembang, Indonesia",SilkAir,Boeing B-737-300,104,97,7
12/20/1997,1997,"Tanagra, Greece",Military - Greek Air Force,Lockheed C-130H Hercules,5,0,5
12/27/1997,1997,"Atlantic Ocean, off Angola",Renan Airways,Antonov An-72,5,0,5
12/28/1997,1997,Over the Pacific Ocean,United Air Lines,Boeing B-747-122,1,1,0
12/31/1997,1997,"Rio Sidra, Panama",Parsa,Britten Norman BN-2A Trislander,10,9,1
01/13/1998,1998,"Brno, Czech Republic",Aeroservice International,Let 410UVP,2,0,2
01/13/1998,1998,"Tor Kach, Pakistan",Military - Ariana Afghan Airlines,Antonov AN-12BP,51,45,6
01/27/1998,1998,"Yangon (Rangoon), Myanmar",Myanmar Airways,Fokker F-27 Friendship 600,16,15,1
02/02/1998,1998," Cagyan de Oro, Philippines",Cebu Pacific Air,McDonnell Douglas DC-9-32,104,99,5
02/03/1998,1998,"Near Cavalese, Trento, Italy",Military - U.S. Marine Corps,Grummand EA-6B,0,0,0
02/04/1998,1998,"Terceira, Portugal",Air Luxor,Antonov 12BP,7,0,7
02/05/1998,1998,"Near Navafria, Spain",Military - Spanish Air Force,CASA 212-S1 Aviocar 100,5,0,5
